Vivado Simulator 2017.1
Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module tb.uut.inst_rom_module.inst.native_mem_module.blk_mem_gen_v8_3_6_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module tb.uut.data_ram_module.inst.native_mem_module.blk_mem_gen_v8_3_6_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_3_6 collision detected at time: 328895000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 335835000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 335845000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 342785000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 342795000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 349735000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 349745000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 356685000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 356695000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 363635000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 363645000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 370585000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 370595000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 377535000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 377545000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 384485000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 384495000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 391435000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 391445000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 398385000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 398395000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 405335000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 405345000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 412285000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 412295000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 419235000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 419245000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 426185000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 426195000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 433135000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 433145000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 440085000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 440095000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 447035000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 447045000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 453985000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 453995000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 460935000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 460945000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 467885000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 467895000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 474835000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 474845000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 481785000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 481795000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 488735000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 488745000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 495685000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 495695000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 502635000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 502645000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 509585000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 509595000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 516535000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 516545000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 523485000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 523495000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 530435000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 530445000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 537385000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 537395000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 544335000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 544345000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 551285000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 551295000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 558235000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 558245000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 565185000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 565195000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 572135000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 572145000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 579085000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 579095000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 586035000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 586045000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 592985000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 592995000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 599935000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 599945000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 606885000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 606895000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 613835000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 613845000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 620785000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 620795000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 627735000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 627745000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 634685000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 634695000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 641635000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 641645000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 648585000, A write address: 0, B  read address: 0
